descriere,pret,link
"Pachet Crema antirid Vichy Liftactiv Supreme pentru ten normal-mixt, 50 ml + Gel-booster zilnic Vichy Mineral 89 cu efect de hidratare, fortifiere si reumplere, cu acid hialuronic, 50ml",158,https://www.emag.ro/pachet-crema-antirid-vichy-liftactiv-supreme-pentru-ten-normal-mixt-50-ml-gel-booster-zilnic-vichy-mineral-89-cu-efect-de-hidratare-fortifiere-si-reumplere-cu-acid-hialuronic-50ml-5902503503802/pd/D2QNHNMBM/
"Crema anti-roseata ultracalmanta Dermedic Angio Capilar, 40g",41,https://www.emag.ro/crema-anti-roseata-ultracalmanta-dermedic-angio-capilar-40g-5901643174347/pd/DP0LH7MBM/
"Crema pentru conturul fetei si al gatului Vichy Neovadiol Phytosculpt, 50 ml",111,https://www.emag.ro/crema-pentru-conturul-fetei-si-al-gatului-vichy-neovadiol-phytosculpt-50-ml-3337875647182/pd/D1TMH6BBM/
Crema anti-rid Nivea Vital 50ml,19,https://www.emag.ro/crema-anti-rid-nivea-vital-50ml-4005808948116/pd/DWFM41BBM/
"Crema corectoare riduri Institut Esthederm Active Repair, 50 ml",308,https://www.emag.ro/crema-corectoare-riduri-institut-esthederm-active-repair-50-ml-3461020013086/pd/DFNN22MBM/
"Crema antirid pentru conturul ochilor L'Oreal Paris Revitalift Laser X3, 15 ml",49,https://www.emag.ro/crema-antirid-pentru-conturul-ochilor-l-oreal-paris-revitalift-laser-x3-15-ml-3600522251958/pd/DB6F4BBBM/
"Gel pentru fata, Le Pommiere, Bio, Aloe Vera, Curatare, 250 ml",89,https://www.emag.ro/gel-pentru-fata-le-pommiere-bio-aloe-vera-curatare-250-ml-al-01/pd/DKWQDTMBM/
"Gel calmant 99% Aloe Vera, 55 ml, Holika Holika",21,https://www.emag.ro/gel-calmant-99-aloe-vera-55-ml-holika-holika-8806334360962/pd/D2CZQ5BBM/
"Set cadou Nivea: Crema Nivea Anti-rid Q10 de zi, 50 ml + Masca servetel Q10 + Crema pentru maini 3-in-1 Q10 anti-imbatranire, 100 ml",73,https://www.emag.ro/set-cadou-nivea-crema-nivea-anti-rid-q10-de-zi-50-ml-masca-servetel-q10-crema-pentru-maini-3-in-1-q10-anti-imbatranire-100-ml-9005800345451/pd/D4CX8DMBM/
"Crema Gerovital H3 Retinol prevenire riduri, 50 ml",34,https://www.emag.ro/crema-gerovital-h3-retinol-prevenire-riduri-50-ml-5943000082629/pd/DWZQQYBBM/
"Crema hidratanta 2 in 1 Mixa anti-imperfectiuni, 50 ml + Gel de curatare Mixa anti-imperfectiuni pentru tenul cu tendinta de ingrasare, sensibil, 200 ml",49,https://www.emag.ro/crema-hidratanta-2-in-1-mixa-anti-imperfectiuni-50-ml-3600550816587/pd/D7PVKLBBM/
"Crema SVR Sensifine Hydra, 40 ml",46,https://www.emag.ro/crema-svr-sensifine-hydra-40-ml-3662361001842/pd/DGF35PMBM/
"Crema de fata hidratanta 24 ore cu ulei de masline organic si aloe vera, Nioti, 50ml",130,https://www.emag.ro/crema-de-fata-hidratanta-24-ore-cu-ulei-de-masline-organic-si-aloe-vera-nioti-50ml-1234/pd/D373DWBBM/
"Pasta SOS Uriage Hyseac pentru pielea cu tendinta de ingrasare, 15 g",38,https://www.emag.ro/pasta-sos-uriage-hyseac-pentru-pielea-cu-tendinta-de-ingrasare-15-g-3661434004315/pd/D6M8BDBBM/
"Crema multifunctionala reparatoare calmanta cu 92% secretie de melc, All In One Snail Repair Cream, Mizon, 75 ml",110,https://www.emag.ro/crema-multifunctionala-reparatoare-calmanta-cu-92-secretie-de-melc-all-in-one-snail-repair-cream-mizon-75-ml-8809390126954/pd/D04FW5BBM/
"Crema intens hidratanta Kilig, Singing in the Rain cu acid hialuronic pentru ten uscat, Femei, 50 ml",47,https://www.emag.ro/crema-intens-hidratanta-kilig-singing-in-the-rain-cu-acid-hialuronic-pentru-ten-uscat-femei-50-ml-4770001000182/pd/D1B65MMBM/
"Crema de noapte cu 25% acid Glyco-A Intense Peeling , 30 ml",89,https://www.emag.ro/crema-de-noapte-cu-25-acid-glyco-a-intense-peeling-30-ml-gly6/pd/DCRLDNMBM/
"Crema ultra activa si luminozitate Gerovital H3 Evolution Perfect Look, 50 ml",52,https://www.emag.ro/crema-ultra-activa-si-luminozitate-gerovital-h3-evolution-perfect-look-50-ml-5943000107278/pd/D8977TMBM/
"Crema de fata Ducray Keracnyl Repair pentru ten acneic, 50 ml",48,https://www.emag.ro/crema-de-fata-ducray-keracnyl-repair-pentru-ten-acneic-50-ml-3282770037418/pd/DC6X03MBM/
"Crema lift hidratanta Gerovital H3 Evolution, de zi cu SPF10, 50 ml",39,https://www.emag.ro/crema-lift-hidratanta-gerovital-h3-evolution-de-zi-cu-spf10-50-ml-5943000074952/pd/DVZRXYMBM/
"Crema atenuare riduri Gerovital Luxury, cu SPF 15, 50 ml",213,https://www.emag.ro/crema-atenuare-riduri-gerovital-luxury-cu-spf-15-50-ml-5943000101030/pd/DV7K13MBM/
"Crema anticearcane si antirid Instantly Ageless Jeunesse, 25 flacoane",410,https://www.emag.ro/crema-anticearcane-si-antirid-instantly-ageless-jeunesse-25-flacoane-jeun01/pd/DZKDPNBBM/
"Gel-crema Nivea Men Fresh, pentru fata, corp si maini, 75 ml",18,https://www.emag.ro/gel-crema-nivea-men-fresh-pentru-fata-corp-si-maini-75-ml-4005900804631/pd/D6NH90MBM/
"Pachet promo CeraVe: Crema hidratanta pentru fata si corp, 177 ml + Gel de spalare hidratant, 236 ml",84,https://www.emag.ro/pachet-promo-cerave-crema-hidratanta-pentru-fata-si-corp-177-ml-gel-de-spalare-hidratant-236-ml-5907245640136/pd/DZQ2B4BBM/
"Baza iluminatoare cu apa termala Uriage Eau Thermale, 40 ml",57,https://www.emag.ro/baza-iluminatoare-cu-apa-termala-uriage-eau-thermale-40-ml-3661434007842/pd/D6NLH7MBM/
"Crema de fata matifianta Nivea men Deep Control, 50 ml",51,https://www.emag.ro/crema-de-fata-matifianta-nivea-men-deep-control-50-ml-4005900627667/pd/D3WX9BMBM/
"Crema hidratanta pentru ten cu rozacee/cuperoza Azelac, Sesderma, 50 ml",86,https://www.emag.ro/crema-hidratanta-pentru-ten-cu-rozacee-cuperoza-azelac-sesderma-50-ml-8470002029293/pd/DMKS4YMBM/
"Crema Reparatoare 65+ Gerocossen Manuka Bio cu miere manuka bio, retinol si colagen, 50 ml",26,https://www.emag.ro/crema-reparatoare-65-gerocossen-manuka-bio-cu-miere-manuka-bio-retinol-si-colagen-50-ml-5943044011555/pd/DC60SKMBM/
"Crema reparatoare cu acid hialuronic, Hyaluronic acid repair cream, 50ml",58,https://www.emag.ro/crema-reparatoare-cu-acid-hialuronic-hyaluronic-acid-repair-cream-50ml-118/pd/DFFB8VBBM/
Crema de ochi Estee Lauder Resilience Lift Multi-Effect Firming/Lifting 15ml,299,https://www.emag.ro/crema-de-ochi-estee-lauder-resilience-lift-multi-effect-firming-lifting-15ml-crem-este-300499/pd/DBQSS5BBM/
"Crema antirid Gerovital H3 Evolution cu acid hialuronic concentratie 3%, 50 ml",48,https://www.emag.ro/crema-antirid-gerovital-h3-evolution-cu-acid-hialuronic-concentratie-3-50-ml-5943000096152/pd/DSZRXYMBM/
"Crema de fata de noapte Bioderma Pigmentbio Night regeneratoare pentru ten hiperpigmentat, 50 ml",49,https://www.emag.ro/crema-de-fata-de-noapte-bioderma-pigmentbio-night-regeneratoare-pentru-ten-hiperpigmentat-50-ml-3701129800089/pd/DTL6W3MBM/
"Set cadou Nivea: Apa Micelara Nivea cu apa de trandafiri, 400 ml + Crema Nivea Rose cu apa de trandafiri, 50 ml + Masca servetel Urban Skin Radiance",59,https://www.emag.ro/set-cadou-nivea-apa-micelara-nivea-cu-apa-de-trandafiri-400-ml-crema-nivea-rose-cu-apa-de-trandafiri-50-ml-masca-servetel-urban-skin-radiance-9005800345512/pd/DCCX8DMBM/
"Crema de fata cu Colagen, Retinol, Acid Hyaluronic si Vitamina E Complex, 50ml",48,https://www.emag.ro/crema-de-fata-cu-colagen-retinol-acid-hyaluronic-si-vitamina-e-complex-50ml-m0237/pd/DL1MKNMBM/
"Crema antirid Vichy Liftactiv Collagen Specialist SPF 25, pentru toate tipurile de ten, 50ml",149,https://www.emag.ro/crema-antirid-vichy-liftactiv-collagen-specialist-spf-25-pentru-toate-tipurile-de-ten-50ml-3337875687096/pd/DVM3CTMBM/
"Gel hidratant de noapte Vichy Aqualia Thermal SPA, 75 ml",90,https://www.emag.ro/gel-hidratant-de-noapte-vichy-aqualia-thermal-spa-75-ml-pl-1024066/pd/D9M7KMBBM/
"Crema de ochi Clinique, Skin Supplies Age Defense for Eyes, 15ml",162,https://www.emag.ro/crema-de-ochi-clinique-skin-supplies-age-defense-for-eyes-15ml-20714382742/pd/D0Z390BBM/
"Crema contur ochi Fillerina 12HA Densifying Filler, Gradul 4, 15 ml",219,https://www.emag.ro/crema-contur-ochi-fillerina-12ha-densifying-filler-gradul-4-15-ml-8051417832151/pd/DFPW4KMBM/
Crema de zi L'Oreal Paris Age Specialist 45 +,25,https://www.emag.ro/crema-de-zi-l-oreal-paris-age-specialist-45-3600522550129/pd/DGZM5BBBM/
"Crema-masca hidratanta de noapte Mixa Hyalurogel Night pentru pielea sensibila, deshidratata, cu aspect obosit, 50 ml",29,https://www.emag.ro/crema-masca-hidratanta-de-noapte-mixa-hyalurogel-night-pentru-pielea-sensibila-deshidratata-cu-aspect-obosit-50-ml-3600550950694/pd/DKQDX0MBM/
"Crema de noapte cu 10% acid glicolic, Glyco-A Medium Peeling, 30ml",79,https://www.emag.ro/crema-de-noapte-cu-10-acid-glicolic-glyco-a-medium-peeling-30ml-gly10/pd/D2R6D0MBM/
"Crema matifianta de zi Acneminum Specialist, 30ml",30,https://www.emag.ro/crema-matifianta-de-zi-acneminum-specialist-30ml-5902802702562/pd/DXL6YDMBM/
"Pachet promo L'oreal Paris Revitalift Laser X3: Crema de zi, 50 ml + Crema de noapte, 50 ml",145,https://www.emag.ro/pachet-promo-l-oreal-paris-revitalift-laser-x3-crema-de-zi-50-ml-crema-de-noapte-50-ml-5902503229962/pd/DWDTP8BBM/
"Crema hidratanta SVR Sebiaclear anti-imperfectiuni, 40 ml",41,https://www.emag.ro/crema-hidratanta-svr-sebiaclear-anti-imperfectiuni-40-ml-3401360167865/pd/DR4HMDMBM/
"Pachet Promo: Crema de fata concentrata Avene Cleanance Comedomed pentru ten acneic, 30 ml + Gel de curatare Avene Cleanance pentru ten gras, 400 ml",129,https://www.emag.ro/pachet-promo-crema-de-fata-concentrata-avene-cleanance-comedomed-pentru-ten-acneic-30-ml-gel-de-curatare-avene-cleanance-pentru-ten-gras-400-ml-5949050503114/pd/D6ZSTXMBM/
"Pachet promo L'Oreal Paris: 2 x Crema antirid de zi Age Specialist 45+, 50 ml",59,https://www.emag.ro/pachet-promo-l-oreal-paris-2-x-crema-antirid-de-zi-age-specialist-45-50-ml-5902503471910/pd/D21ZL2MBM/
Crema depigmentanta de zi SPF 50 Dermedic Melumin 55ml,39,https://www.emag.ro/crema-depigmentanta-de-zi-spf-50-dermedic-melumin-55ml-nd-dm-221/pd/DFNQB2MBM/
"Crema de fata Neutrogena Cellular Boost anti-imbatranire pentru zi, SPF 20, 50 ml",82,https://www.emag.ro/crema-de-fata-neutrogena-cellular-boost-anti-imbatranire-pentru-zi-spf-20-50-ml-3574661476209/pd/DXLQ2TMBM/
"Crema pentru noapte, cu extract de trandafiri si ulei de argan bio, 50 ml",38,https://www.emag.ro/crema-pentru-noapte-cu-extract-de-trandafiri-si-ulei-de-argan-bio-50-ml-501/pd/DJH0JGBBM/
"Lotiune hidratanta Neutrogena Hydro Boost SPF 25, 50 ml",61,https://www.emag.ro/lotiune-hidratanta-neutrogena-hydro-boost-spf-25-50-ml-3574661351483/pd/DFZT5BMBM/
"Crema dermo-calmanta SVR Sensifine pentru piele intoleranta si hipoalergica, 40 ml",46,https://www.emag.ro/crema-dermo-calmanta-svr-sensifine-pentru-piele-intoleranta-si-hipoalergica-40-ml-3401360091108/pd/DDCHMDMBM/
"Gel dermatocosmetic cu efect de umplere a buzelor Fillerina, Gradul 3, 5 ml",189,https://www.emag.ro/gel-dermatocosmetic-cu-efect-de-umplere-a-buzelor-fillerina-gradul-3-5-ml-8051417155885/pd/DZD5K7MBM/
"Crema de fata de zi Bioderma Pigmentbio Daily SPF 50+ pentru ten hiperpigmentat, 40 ml",67,https://www.emag.ro/crema-de-fata-de-zi-bioderma-pigmentbio-daily-spf-50-pentru-ten-hiperpigmentat-40-ml-3701129800072/pd/DKL6W3MBM/
"Crema de regenerare cu Matrixyl, Colagen si Hialuron, Cosmetical Solution, anti-rid, strangere, umplere, 230 ml",89,https://www.emag.ro/crema-de-regenerare-cu-matrixyl-colagen-si-hialuron-cosmetical-solution-anti-rid-strangere-umplere-230-ml-35/pd/D14731BBM/
"Crema hidratanta colorata Guinot Hydra Finish SPF 15, 30 ml",187,https://www.emag.ro/crema-hidratanta-colorata-guinot-hydra-finish-spf-15-30-ml-3500465068708/pd/D0T6D2BBM/
"Crema anti-age Gerovital H3 Evolution, intens restructuranta 45+, 50 ml",37,https://www.emag.ro/crema-anti-age-gerovital-h3-evolution-intens-restructuranta-45-50-ml-5943000075027/pd/DCZRXYMBM/
"Crema hidratanta uniformizatoare La Roche Posay TOLERIANE SENSITIVE, nuanta MEDIUM 40ml",67,https://www.emag.ro/crema-hidratanta-uniformizatoare-la-roche-posay-toleriane-sensitive-nuanta-medium-40ml-3337875678636/pd/DRJCXMMBM/
"Crema hidratanta Mixa Hyalurogel Light cu acid hialuronic pentru ten normal - uscat, 50 ml + Crema-masca hidratanta de noapte Mixa Hyalurogel Night pentru pielea sensibila, deshidratata, cu aspect obosit, 50 ml",56,https://www.emag.ro/crema-hidratanta-mixa-hyalurogel-light-cu-acid-hialuronic-pentru-ten-normal-uscat-50-ml-3600550932836/pd/D2QDX0MBM/
Crema de zi Elizabeth Arden Visible Difference Refining Moisture Cream Complex 75ml,87,https://www.emag.ro/crema-de-zi-elizabeth-arden-visible-difference-refining-moisture-cream-complex-75ml-crem-eliz-120048/pd/DC71RMBBM/
"Crema de zi fortifianta pentru ten cuperozic SPF20 Dermedic Angio, 40g",39,https://www.emag.ro/crema-de-zi-fortifianta-pentru-ten-cuperozic-spf20-dermedic-angio-40g-5901643174798/pd/DN0LH7MBM/
"Crema pentru fata Bioderma Nude Touch, protectie solara invizibila, nuanta deschisa, SPF 50+, 40 ml",72,https://www.emag.ro/crema-pentru-fata-bioderma-nude-touch-protectie-solara-invizibila-nuanta-deschisa-spf-50-40-ml-3401360195318/pd/DV2RMJBBM/
"Crema de zi antirid Eucerin Hyaluron-Filler + Volume-Lift, pentru ten normal si mixt, 50 ml",167,https://www.emag.ro/crema-de-zi-antirid-eucerin-hyaluron-filler-volume-lift-pentru-ten-normal-si-mixt-50-ml-4005800050039/pd/DSFJVVBBM/
"Crema antirid de zi Gerovital H3 Hyaluron C, 50 ml",26,https://www.emag.ro/crema-antirid-de-zi-gerovital-h3-hyaluron-c-50-ml-5943000101757/pd/D3ZJHTMBM/
"Crema de fata hidratanta Revuele CYS Hyaluronic Acid, 30 ml",18,https://www.emag.ro/crema-de-fata-hidratanta-revuele-cys-hyaluronic-acid-30-ml-5060565101654/pd/D9053KMBM/
"Crema revitalizanta Nivea Men Skin Energy Q10, 50 ml, 50 ml",46,https://www.emag.ro/crema-revitalizanta-nivea-men-skin-energy-q10-50-ml-50-ml-4005808318490/pd/DXH09BBBM/
"Crema pentru fata 3D, Laser Matrix Day Cream, de noapte, 50 ml",33,https://www.emag.ro/crema-pentru-fata-3d-laser-matrix-day-cream-de-noapte-50-ml-5060565100992/pd/DZJNVGBBM/
"Crema SVR Hydracid C20 tratament antirid, 30 ml",94,https://www.emag.ro/crema-svr-hydracid-c20-tratament-antirid-30-ml-3401346462885/pd/DK4HMDMBM/
Emulsie matifianta Uriage Hyseac Mat 40 ml,40,https://www.emag.ro/emulsie-matifianta-uriage-hyseac-mat-40-ml-hyseac3/pd/DZWCHFBBM/
"Crema coreeana contur ochi cu extract de melc, Mizon Snail Repair Eye Cream, 25ml",89,https://www.emag.ro/crema-coreeana-contur-ochi-cu-extract-de-melc-mizon-snail-repair-eye-cream-25ml-8809663751739/pd/DTH13XMBM/
"Crema antirid de fata pentru zi L'Oreal Paris Age Specialist 55+, 50 ml",25,https://www.emag.ro/crema-antirid-de-fata-pentru-zi-l-oreal-paris-age-specialist-55-50-ml-3600522550204/pd/D8ZM5BBBM/
"Crema hidratanta Mixa Hyalurogel Rich cu acid hialuronic pentru ten uscat, 50 ml + Lapte de corp intens hidratant Mixa Hyalurogel pentru piele deshidratata, uscata si sensibila, 400 ml",54,https://www.emag.ro/crema-hidratanta-mixa-hyalurogel-rich-cu-acid-hialuronic-pentru-ten-uscat-50-ml-3600550934922/pd/DTQDX0MBM/
"Crema calmanta protectoare Gerovital H3 Derma+ Premium Care, 50 ml",70,https://www.emag.ro/crema-calmanta-protectoare-gerovital-h3-derma-premium-care-50-ml-5943000096459/pd/DFHVX3MBM/
"Crema hidratanta pentru ten normal spre uscat Embryolisse, 50 ml",74,https://www.emag.ro/crema-hidratanta-pentru-ten-normal-spre-uscat-embryolisse-50-ml-3350900000233/pd/D1DHLNBBM/
"Crema hidratanta de fata cu aur si argint 75 ml, Vivanatura",23,https://www.emag.ro/crema-hidratanta-de-fata-cu-aur-si-argint-75-ml-vivanatura-5948501701284/pd/D1KW82BBM/
Crema de zi Estee Lauder DayWear Anti-Oxidant Sorbet Creme SPF 15 30ml,139,https://www.emag.ro/crema-de-zi-estee-lauder-daywear-anti-oxidant-sorbet-creme-spf-15-30ml-19604/pd/D5KGK2MBM/
Crema anti-roseata Uriage Roseliane 40ml,52,https://www.emag.ro/crema-anti-roseata-uriage-roseliane-40ml-nd-ur-15001177/pd/DYJTS5BBM/
"Crema hidratanta pentru fata si corp CeraVe pentru piele uscata si foarte uscata, 340 g",51,https://www.emag.ro/crema-hidratanta-pentru-fata-si-corp-cerave-pentru-piele-uscata-si-foarte-uscata-340-g-3337875597227/pd/DHW4SJBBM/
"Crema matifianta Gerocossen Melcfort, 35 ml",36,https://www.emag.ro/crema-matifianta-gerocossen-melcfort-35-ml-5943044009019/pd/DXNYG3BBM/
"Crema nutritiva Mixa Extreme Nutrition pe baza de ulei, pentru piele sensibila, foarte uscata, 50 ml",29,https://www.emag.ro/crema-nutritiva-mixa-extreme-nutrition-pe-baza-de-ulei-pentru-piele-sensibila-foarte-uscata-50-ml-3600550932768/pd/DNQDX0MBM/
"Crema de fata de noapte Avene A-Oxitive pentru ten sensibil, 30 ml",119,https://www.emag.ro/crema-de-fata-de-noapte-avene-a-oxitive-pentru-ten-sensibil-30-ml-3282770208245/pd/DPRX03MBM/
"Gel reglator al pigmentarii ACM Vitix, 50 ml",133,https://www.emag.ro/gel-reglator-al-pigmentarii-acm-vitix-50-ml-3760095253190/pd/DGGCK7MBM/
"Crema tratament Dr. Hauschka Intensive Treatment 25+, 40ml",189,https://www.emag.ro/crema-tratament-dr-hauschka-intensive-treatment-25-40ml-hau151/pd/D6RTN7MBM/
"Set L'Oreal Paris Revitalift New Formula: Crema antirid de zi, 50 ml + Crema antirid de noapte, 50 ml",89,https://www.emag.ro/set-l-oreal-paris-revitalift-new-formula-crema-antirid-de-zi-50-ml-crema-antirid-de-noapte-50-ml-5902503303907/pd/DJRX2BMBM/
"Crema Antirid Q10, 30 monodoze, Hofigal",21,https://www.emag.ro/crema-antirid-q10-30-monodoze-hofigal-5944723003267/pd/D06862BBM/
"Gel ACM Depiwhite pentru conturul ochilor, 15 ml",57,https://www.emag.ro/gel-acm-depiwhite-pentru-conturul-ochilor-15-ml-3760095250205/pd/D18CK7MBM/
"Lotiune anti-imbatranire L'Oréal Men Expert Vita Lift Anti-Ageing, cu extract din vinuri frantuzesti, FMD1111",45,https://www.emag.ro/lotiune-anti-imbatranire-l-oreal-men-expert-vita-lift-anti-ageing-cu-extract-din-vinuri-frantuzesti-fmd1111/pd/D8HWNSBBM/
"Crema pentru fata Revox cu Retinol si protectie solara SPF20, 50 ml",59,https://www.emag.ro/crema-pentru-fata-revox-cu-retinol-si-protectie-solara-spf20-50-ml-5060565103771/pd/DWJ6GPMBM/
"Crema depigmentanta Mabox Whitening, 50 ml",49,https://www.emag.ro/crema-depigmentanta-mabox-whitening-50-ml-1104/pd/DXSFW0MBM/
"Crema de noapte Elmiplant Multicollagen, 50 ml",19,https://www.emag.ro/crema-de-noapte-elmiplant-multicollagen-50-ml-5201314079545/pd/DTJ8BNBBM/
"Crema pentru fata, Alkmene, Tea tree oil, 50ml",30,https://www.emag.ro/crema-pentru-fata-alkmene-tea-tree-oil-50ml-005304/pd/DY546RBBM/
"Crema cu efect anti-inflamator SVR Topialyse Palpebral pentru pleoape iritate, 15 ml",41,https://www.emag.ro/crema-cu-efect-anti-inflamator-svr-topialyse-palpebral-pentru-pleoape-iritate-15-ml-3401060256340/pd/DXLHMDMBM/
"Set Ingrijire Ten, Estee Lauder, All Day Hydration, crema zi15ml+crema noapte 15ml+crema ochi 5ml+ser de noapte 7ml",259,https://www.emag.ro/set-ingrijire-ten-estee-lauder-all-day-hydration-crema-zi15ml-crema-noapte-15ml-crema-ochi-5ml-ser-de-noapte-7ml-lauder-887167583948/pd/D5RGQXMBM/
"Crema de zi hidratanta Revuele cu acid hialuronic, 50 ml",11,https://www.emag.ro/crema-de-zi-hidratanta-revuele-cu-acid-hialuronic-50-ml-3800225902410/pd/D7FNVGBBM/
"Crema restructuranta Uriage Hyseac R, 40 ml",43,https://www.emag.ro/crema-restructuranta-uriage-hyseac-r-40-ml-3661434004339/pd/D8M8BDBBM/
"Crema de zi Nivea Q10 Plus C, antirid, pentru toate tipurile de ten, 50 ml",51,https://www.emag.ro/crema-de-zi-nivea-q10-plus-c-antirid-pentru-toate-tipurile-de-ten-50-ml-9005800234120/pd/DGRK9BBBM/
"Crema de ochi Avene A-Oxitive, 15 ml",82,https://www.emag.ro/crema-de-ochi-avene-a-oxitive-15-ml-3282770208214/pd/DCRX03MBM/
"Crema SVR Cicavit+ pentru pielea iritata, 40 ml",32,https://www.emag.ro/crema-svr-cicavit-pentru-pielea-iritata-40-ml-3401344502149/pd/DJVHMDMBM/
"Crema epitelizanta Cicases WH, Sesderma, 30 ml",35,https://www.emag.ro/crema-epitelizanta-cicases-wh-sesderma-30-ml-8429979419835/pd/DRTS4YMBM/
Crema de fata Skintegra Una pentru piele sensibila si atopica 50 ml,110,https://www.emag.ro/crema-de-fata-skintegra-una-pentru-piele-sensibila-si-atopica-50-ml-f53181/pd/DDYXHNMBM/
"Lapte de fata cu zmeura FLuFF, Efect iluminator si regenerant, 40 ml",31,https://www.emag.ro/lapte-de-fata-cu-zmeura-fluff-efect-iluminator-si-regenerant-40-ml-5902539711516/pd/DM5WZKMBM/
"Crema de fata pentru zi, Apidermin Expert, cu laptisor de matca, 50 ml",30,https://www.emag.ro/crema-de-fata-pentru-zi-apidermin-expert-cu-laptisor-de-matca-50-ml-expzi50/pd/D46T6LBBM/
"Crema SVR Densitium Rich impotriva ridurilor, 50 ml",100,https://www.emag.ro/crema-svr-densitium-rich-impotriva-ridurilor-50-ml-3401347928830/pd/DGVHMDMBM/
